"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://teksea.net/","text/html; charset=UTF-8","200","OK","Indexable","","TekSea — Soluções inteligentes em energia","41","390","Transformamos energia crítica em soluções inteligentes. TEKSEA entrega sistemas de energia, controle, comunicação e automação para navios.","138","891","","0","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore","99","Auditoria da Petrobras é concluída com sucesso e reforça qualidade da TekSea.","77","SISTEMAS CA/CC","14","SISTEMAS CA/CA","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/","","","","","","942393","125638","125638","48.130","","1430","337","4.243","22.265","Very Hard","1.396","0","0","","758","110","0","100.000","181","73","0","14","10","0","","","","","f31745ef9feedfaea40a360a545f4f8","0.108","Tue, 07 Jul 2026 16:32:48 GMT","","","","pt-BR","1.1","","","","","","https://teksea.net/","2026-07-09 09:45:44"
"https://teksea.net/wp-content/uploads/2026/02/svg-Bombas-e-Fluxometro.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","268","268","268","0.103","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.093","Mon, 30 Mar 2026 21:07:28 GMT","","","","","1.1","","","","","","https://teksea.net/wp-content/uploads/2026/02/svg-Bombas-e-Fluxometro.svg","2026-07-09 09:45:51"
"https://teksea.net/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min.css?ver=6.2.3","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2312","2312","2312","0.886","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.084","Wed, 10 Jun 2026 15:01:40 GMT","","","","","1.1","","","","","","https://teksea.net/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min.css?ver=6.2.3","2026-07-09 09:45:51"
"https://teksea.net/wp-content/uploads/2026/02/svg-Mobilidade-Eletrica.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","998","998","998","0.382","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.087","Mon, 30 Mar 2026 21:07:28 GMT","","","","","1.1","","","","","","https://teksea.net/wp-content/uploads/2026/02/svg-Mobilidade-Eletrica.svg","2026-07-09 09:45:51"
"https://teksea.net/wp-content/uploads/2026/02/Assinatura-Horizontal-Preta.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","8079","8079","8079","3.095","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.095","Mon, 30 Mar 2026 21:07:28 GMT","","","","","1.1","","","","","","https://teksea.net/wp-content/uploads/2026/02/Assinatura-Horizontal-Preta.svg","2026-07-09 09:45:51"
"https://teksea.net/wp-content/uploads/2026/02/svg-Acucar-Etanol.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","858","858","858","0.329","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.089","Mon, 30 Mar 2026 21:07:28 GMT","","","","","1.1","","","","","","https://teksea.net/wp-content/uploads/2026/02/svg-Acucar-Etanol.svg","2026-07-09 09:45:51"
"https://teksea.net/mercados-que-atendemos/hidroeletrica/","text/html; charset=UTF-8","200","OK","Indexable","","Arquivo de Hidroelétrica — TekSea","33","308","","0","0","","0","Hidroelétrica","13","","0","SISTEMAS CA/CC","14","SISTEMAS CA/CA","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/mercados-que-atendemos/hidroeletrica/","https://teksea.net/mercados-que-atendemos/hidroeletrica/page/2/","","","","","635503","97073","97073","37.187","","514","152","3.382","29.759","Very Hard","1.039","1","2","","335","110","0","100.000","153","63","0","10","9","0","","","","","f2a57feef439d2b34c8964b8363f93b9","0.169","Tue, 07 Jul 2026 16:59:05 GMT","","","","pt-BR","1.1","","","","","","https://teksea.net/mercados-que-atendemos/hidroeletrica/","2026-07-09 09:45:51"
"https://teksea.net/produto/tekpower-scr/","text/html; charset=UTF-8","200","OK","Indexable","","SCR – Retificador / Carregador Tiristorizado — TekSea","53","485","","0","0","","0","SCR – Retificador / Carregador Tiristorizado","44","","0","SISTEMAS CA/CC","14","SISTEMAS CA/CA","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/produto/tekpower-scr/","","","","","","739337","109192","109192","41.829","","1080","273","3.956","48.895","Hard","1.349","1","2","","10","3","0","2.730","141","62","0","10","9","0","","","","","5705234b8a784008ee88130dd031751e","0.142","Tue, 07 Jul 2026 16:56:19 GMT","","","","pt-BR","1.1","","","","","","https://teksea.net/produto/tekpower-scr/","2026-07-09 09:45:51"
"https://teksea.net/produtos/","text/html; charset=UTF-8","200","OK","Indexable","","Produtos — TekSea","17","174","Descubra os Produtos TekSea e garanta operação contínua com retificadores e sistemas UPS de alta confiabilidade.","112","717","","0","Produtos TekSea","15","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore","99","SISTEMAS CA/CC","14","SISTEMAS CA/CA","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/produtos/","","","","","","738994","109167","109167","41.820","","1066","250","4.264","33.783","Hard","1.384","1","1","","7","2","0","1.820","154","67","0","14","10","0","","","","","6427f3306b0c1a6d6c272928cba4ede3","0.144","Tue, 07 Jul 2026 16:33:25 GMT","","","","pt-BR","1.1","","","","","","https://teksea.net/produtos/","2026-07-09 09:45:51"
"https://teksea.net/subcategoria/tiristorizados-scr/","text/html; charset=UTF-8","200","OK","Indexable","","Arquivo de Tiristorizados SCR — TekSea","38","357","","0","0","","0","Linha de Produtos","17","","0","SISTEMAS CA/CC","14","SISTEMAS CA/CA","14","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/subcategoria/tiristorizados-scr/","","","","","","634866","100793","100793","38.612","","434","125","3.472","34.306","Hard","1.010","1","2","","225","110","0","100.000","135","55","0","10","9","0","","","","","3b7faf74a114ac1aed6a87998d9135b6","0.162","Tue, 07 Jul 2026 18:07:48 GMT","","","","pt-BR","1.1","","","","","","https://teksea.net/subcategoria/tiristorizados-scr/","2026-07-09 09:45:51"
